device,num_adversaries,f1,aggregation,injected
pi3-1gb,0,85.71428571428571,fed_avg,pi3-1gb
pi4-2gb-bc,0,85.71428571428571,fed_avg,pi3-1gb
pi4-2gb-wc,0,85.71428571428571,fed_avg,pi3-1gb
pi4-4gb,0,85.71428571428571,fed_avg,pi3-1gb
All,0,85.71428571428571,fed_avg,pi3-1gb
pi3-1gb,1,66.99916874480465,fed_avg,pi3-1gb
pi4-2gb-bc,1,64.9789029535865,fed_avg,pi3-1gb
pi4-2gb-wc,1,64.29177268871926,fed_avg,pi3-1gb
pi4-4gb,1,64.9789029535865,fed_avg,pi3-1gb
All,1,65.31986531986533,fed_avg,pi3-1gb
pi3-1gb,2,67.10743801652893,fed_avg,pi3-1gb
pi4-2gb-bc,2,57.77777777777777,fed_avg,pi3-1gb
pi4-2gb-wc,2,60.62717770034843,fed_avg,pi3-1gb
pi4-4gb,2,51.162790697674424,fed_avg,pi3-1gb
All,2,59.41202281702501,fed_avg,pi3-1gb
pi3-1gb,3,7.923169267707084,fed_avg,pi3-1gb
pi4-2gb-bc,3,0.0,fed_avg,pi3-1gb
pi4-2gb-wc,3,0.0,fed_avg,pi3-1gb
pi4-4gb,3,0.0,fed_avg,pi3-1gb
All,3,2.0414475719146306,fed_avg,pi3-1gb
pi3-1gb,4,23.204419889502763,fed_avg,pi3-1gb
pi4-2gb-bc,4,26.2757871878393,fed_avg,pi3-1gb
pi4-2gb-wc,4,32.10912906610703,fed_avg,pi3-1gb
pi4-4gb,4,21.627647714604233,fed_avg,pi3-1gb
All,4,25.897714907508163,fed_avg,pi3-1gb
pi3-1gb,0,85.65310492505354,trimmed_mean,pi3-1gb
pi4-2gb-bc,0,85.71428571428571,trimmed_mean,pi3-1gb
pi4-2gb-wc,0,85.71428571428571,trimmed_mean,pi3-1gb
pi4-4gb,0,85.71428571428571,trimmed_mean,pi3-1gb
All,0,85.69898232458489,trimmed_mean,pi3-1gb
pi3-1gb,1,66.77768526228142,trimmed_mean,pi3-1gb
pi4-2gb-bc,1,55.072463768115945,trimmed_mean,pi3-1gb
pi4-2gb-wc,1,57.65124555160143,trimmed_mean,pi3-1gb
pi4-4gb,1,50.187265917603,trimmed_mean,pi3-1gb
All,1,57.68289971091839,trimmed_mean,pi3-1gb
pi3-1gb,2,67.43993371996686,trimmed_mean,pi3-1gb
pi4-2gb-bc,2,63.7137989778535,trimmed_mean,pi3-1gb
pi4-2gb-wc,2,63.829787234042556,trimmed_mean,pi3-1gb
pi4-4gb,2,62.896315338474714,trimmed_mean,pi3-1gb
All,2,64.49290705060343,trimmed_mean,pi3-1gb
pi3-1gb,3,11.985898942420683,trimmed_mean,pi3-1gb
pi4-2gb-bc,3,23.982398239823986,trimmed_mean,pi3-1gb
pi4-2gb-wc,3,24.36882546652031,trimmed_mean,pi3-1gb
pi4-4gb,3,22.41953385127636,trimmed_mean,pi3-1gb
All,3,20.82866741321389,trimmed_mean,pi3-1gb
pi3-1gb,4,1.9801980198019802,trimmed_mean,pi3-1gb
pi4-2gb-bc,4,1.9801980198019802,trimmed_mean,pi3-1gb
pi4-2gb-wc,4,4.161566707466341,trimmed_mean,pi3-1gb
pi4-4gb,4,1.9801980198019802,trimmed_mean,pi3-1gb
All,4,2.5300833076211044,trimmed_mean,pi3-1gb
pi3-1gb,0,85.71428571428571,trimmed_mean_2,pi3-1gb
pi4-2gb-bc,0,85.71428571428571,trimmed_mean_2,pi3-1gb
pi4-2gb-wc,0,85.71428571428571,trimmed_mean_2,pi3-1gb
pi4-4gb,0,85.71428571428571,trimmed_mean_2,pi3-1gb
All,0,85.71428571428571,trimmed_mean_2,pi3-1gb
pi3-1gb,1,66.66666666666666,trimmed_mean_2,pi3-1gb
