device,num_adversaries,f1,aggregation
pi3-1gb,0,88.8888888888889,fed_avg
pi4-2gb-bc,0,88.8888888888889,fed_avg
pi4-2gb-wc,0,88.8888888888889,fed_avg
pi4-4gb,0,88.93829905503057,fed_avg
All,0,88.90123628281705,fed_avg
pi3-1gb,1,88.8888888888889,fed_avg
pi4-2gb-bc,1,88.8888888888889,fed_avg
pi4-2gb-wc,1,88.8888888888889,fed_avg
pi4-4gb,1,88.8888888888889,fed_avg
All,1,88.8888888888889,fed_avg
pi3-1gb,2,88.8888888888889,fed_avg
pi4-2gb-bc,2,88.8888888888889,fed_avg
pi4-2gb-wc,2,88.8888888888889,fed_avg
pi4-4gb,2,88.8888888888889,fed_avg
All,2,88.8888888888889,fed_avg
pi3-1gb,3,54.54545454545454,fed_avg
pi4-2gb-bc,3,66.66666666666666,fed_avg
pi4-2gb-wc,3,66.66666666666666,fed_avg
pi4-4gb,3,66.66666666666666,fed_avg
All,3,63.829787234042556,fed_avg
pi3-1gb,4,54.54545454545454,fed_avg
pi4-2gb-bc,4,66.66666666666666,fed_avg
pi4-2gb-wc,4,66.66666666666666,fed_avg
pi4-4gb,4,66.66666666666666,fed_avg
All,4,63.829787234042556,fed_avg
pi3-1gb,5,54.54545454545454,fed_avg
pi4-2gb-bc,5,66.66666666666666,fed_avg
pi4-2gb-wc,5,66.66666666666666,fed_avg
pi4-4gb,5,66.66666666666666,fed_avg
All,5,63.829787234042556,fed_avg
pi3-1gb,6,54.54545454545454,fed_avg
pi4-2gb-bc,6,66.66666666666666,fed_avg
pi4-2gb-wc,6,66.66666666666666,fed_avg
pi4-4gb,6,66.66666666666666,fed_avg
All,6,63.829787234042556,fed_avg
pi3-1gb,0,88.8888888888889,trimmed_mean
pi4-2gb-bc,0,88.8888888888889,trimmed_mean
pi4-2gb-wc,0,88.8888888888889,trimmed_mean
pi4-4gb,0,88.8888888888889,trimmed_mean
All,0,88.8888888888889,trimmed_mean
pi3-1gb,1,88.8888888888889,trimmed_mean
pi4-2gb-bc,1,88.8888888888889,trimmed_mean
pi4-2gb-wc,1,88.8888888888889,trimmed_mean
pi4-4gb,1,88.8888888888889,trimmed_mean
All,1,88.8888888888889,trimmed_mean
pi3-1gb,2,88.8888888888889,trimmed_mean
pi4-2gb-bc,2,88.8888888888889,trimmed_mean
pi4-2gb-wc,2,88.8888888888889,trimmed_mean
pi4-4gb,2,88.8888888888889,trimmed_mean
All,2,88.8888888888889,trimmed_mean
pi3-1gb,3,54.54545454545454,trimmed_mean
pi4-2gb-bc,3,66.66666666666666,trimmed_mean
pi4-2gb-wc,3,66.66666666666666,trimmed_mean
pi4-4gb,3,66.66666666666666,trimmed_mean
All,3,63.829787234042556,trimmed_mean
pi3-1gb,4,76.92307692307693,trimmed_mean
pi4-2gb-bc,4,85.71428571428571,trimmed_mean
pi4-2gb-wc,4,85.71428571428571,trimmed_mean
pi4-4gb,4,85.71428571428571,trimmed_mean
All,4,83.63636363636363,trimmed_mean
pi3-1gb,5,54.54545454545454,trimmed_mean
pi4-2gb-bc,5,66.66666666666666,trimmed_mean
pi4-2gb-wc,5,66.66666666666666,trimmed_mean
