device,num_adversaries,f1,tp,fp,tn,fn,aggregation,injected
pi3-1gb,0,85.91648973814578,607,6,194,193,fed_avg,pi3-1gb
pi4-2gb-bc,0,86.05803255484786,608,5,195,192,fed_avg,pi3-1gb
pi4-2gb-wc,0,86.03988603988604,604,0,200,196,fed_avg,pi3-1gb
pi4-4gb,0,85.83629893238435,603,2,198,197,fed_avg,pi3-1gb
All,0,85.96273291925466,2422,13,787,778,fed_avg,pi3-1gb
pi3-1gb,1,69.04376012965963,426,8,192,374,fed_avg,pi3-1gb
pi4-2gb-bc,1,65.82914572864321,393,1,199,407,fed_avg,pi3-1gb
pi4-2gb-wc,1,65.72379367720465,395,7,193,405,fed_avg,pi3-1gb
pi4-4gb,1,66.22185154295246,397,2,198,403,fed_avg,pi3-1gb
All,1,66.72188858977015,1611,18,782,1589,fed_avg,pi3-1gb
pi3-1gb,2,69.68472109943411,431,6,194,369,fed_avg,pi3-1gb
pi4-2gb-bc,2,57.21925133689839,321,1,199,479,fed_avg,pi3-1gb
pi4-2gb-wc,2,57.85270629991127,326,1,199,474,fed_avg,pi3-1gb
pi4-4gb,2,52.02952029520295,282,2,198,518,fed_avg,pi3-1gb
All,2,59.51859956236324,1360,10,790,1840,fed_avg,pi3-1gb
pi3-1gb,3,23.542354235423545,107,2,198,693,fed_avg,pi3-1gb
pi4-2gb-bc,3,32.42677824267782,155,1,199,645,fed_avg,pi3-1gb
pi4-2gb-wc,3,32.60188087774294,156,1,199,644,fed_avg,pi3-1gb
pi4-4gb,3,30.116648992576877,142,1,199,658,fed_avg,pi3-1gb
All,3,29.747675962815407,560,5,795,2640,fed_avg,pi3-1gb
pi3-1gb,4,5.5893074119076545,23,0,200,777,fed_avg,pi3-1gb
pi4-2gb-bc,4,1.2391573729863694,5,2,198,795,fed_avg,pi3-1gb
pi4-2gb-wc,4,0.9925558312655087,4,2,198,796,fed_avg,pi3-1gb
pi4-4gb,4,1.4888337468982629,6,0,200,794,fed_avg,pi3-1gb
All,4,2.344231955582974,38,4,796,3162,fed_avg,pi3-1gb
pi3-1gb,0,85.91749644381223,604,2,198,196,trimmed_mean,pi3-1gb
pi4-2gb-bc,0,85.81560283687944,605,5,195,195,trimmed_mean,pi3-1gb
pi4-2gb-wc,0,85.9375,605,3,197,195,trimmed_mean,pi3-1gb
pi4-4gb,0,85.32955350815024,602,9,191,198,trimmed_mean,pi3-1gb
All,0,85.74977817213842,2416,19,781,784,trimmed_mean,pi3-1gb
pi3-1gb,1,68.47290640394088,417,1,199,383,trimmed_mean,pi3-1gb
pi4-2gb-bc,1,54.891304347826086,303,1,199,497,trimmed_mean,pi3-1gb
pi4-2gb-wc,1,57.06666666666666,321,4,196,479,trimmed_mean,pi3-1gb
pi4-4gb,1,53.1622364802933,290,1,199,510,trimmed_mean,pi3-1gb
All,1,58.66020273248127,1331,7,793,1869,trimmed_mean,pi3-1gb
pi3-1gb,2,68.89795918367346,422,3,197,378,trimmed_mean,pi3-1gb
pi4-2gb-bc,2,45.70877531340405,237,0,200,563,trimmed_mean,pi3-1gb
pi4-2gb-wc,2,48.249763481551554,255,2,198,545,trimmed_mean,pi3-1gb
pi4-4gb,2,43.23271665043817,222,5,195,578,trimmed_mean,pi3-1gb
All,2,52.27795674183157,1136,10,790,2064,trimmed_mean,pi3-1gb
pi3-1gb,3,27.155172413793103,126,2,198,674,trimmed_mean,pi3-1gb
pi4-2gb-bc,3,27.77179763186222,129,0,200,671,trimmed_mean,pi3-1gb
pi4-2gb-wc,3,26.435536294691225,122,1,199,678,trimmed_mean,pi3-1gb
pi4-4gb,3,26.247288503253795,121,1,199,679,trimmed_mean,pi3-1gb
All,3,26.904376012965965,498,4,796,2702,trimmed_mean,pi3-1gb
pi3-1gb,4,10.849056603773585,46,2,198,754,trimmed_mean,pi3-1gb
pi4-2gb-bc,4,3.198031980319803,13,0,200,787,trimmed_mean,pi3-1gb
