device,num_adversaries,f1,tp,fp,tn,fn,aggregation
pi3-1gb,0,85.91648973814578,607,6,194,193,fed_avg
pi4-2gb-bc,0,86.05803255484786,608,5,195,192,fed_avg
pi4-2gb-wc,0,86.03988603988604,604,0,200,196,fed_avg
pi4-4gb,0,85.83629893238435,603,2,198,197,fed_avg
All,0,85.96273291925466,2422,13,787,778,fed_avg
pi3-1gb,1,85.75458392101551,608,10,190,192,fed_avg
pi4-2gb-bc,1,86.14072494669509,606,1,199,194,fed_avg
pi4-2gb-wc,1,85.85572842998586,607,7,193,193,fed_avg
pi4-4gb,1,85.83629893238435,603,2,198,197,fed_avg
All,1,85.89652728561305,2424,20,780,776,fed_avg
pi3-1gb,2,22.61640798226164,102,0,200,698,fed_avg
pi4-2gb-bc,2,41.54302670623145,210,1,199,590,fed_avg
pi4-2gb-wc,2,41.112214498510426,207,0,200,593,fed_avg
pi4-4gb,2,40.95427435387674,206,0,200,594,fed_avg
All,2,36.933265410086605,725,1,799,2475,fed_avg
pi3-1gb,3,40.31936127744511,202,0,200,598,fed_avg
pi4-2gb-bc,3,54.677565849227975,301,0,200,499,fed_avg
pi4-2gb-wc,3,54.54545454545454,300,0,200,500,fed_avg
pi4-4gb,3,54.80943738656987,302,0,200,498,fed_avg
All,3,51.33565621370501,1105,0,800,2095,fed_avg
pi3-1gb,4,1.734820322180917,7,0,200,793,fed_avg
pi4-2gb-bc,4,6.529625151148731,27,0,200,773,fed_avg
pi4-2gb-wc,4,6.996381182147165,29,0,200,771,fed_avg
pi4-4gb,4,5.35279805352798,22,0,200,778,fed_avg
All,4,5.175038051750381,85,0,800,3115,fed_avg
pi3-1gb,5,40.0,200,0,200,600,fed_avg
pi4-2gb-bc,5,54.677565849227975,301,0,200,499,fed_avg
pi4-2gb-wc,5,54.41310282074614,299,0,200,501,fed_avg
pi4-4gb,5,54.677565849227975,301,0,200,499,fed_avg
All,5,51.197395954429204,1101,0,800,2099,fed_avg
pi3-1gb,6,2.469135802469136,10,0,200,790,fed_avg
pi4-2gb-bc,6,6.2953995157385,26,0,200,774,fed_avg
pi4-2gb-wc,6,6.529625151148731,27,0,200,773,fed_avg
pi4-4gb,6,6.987951807228915,29,1,199,771,fed_avg
All,6,5.587610081992104,92,1,799,3108,fed_avg
pi3-1gb,0,85.49075391180654,601,5,195,199,trimmed_mean
pi4-2gb-bc,0,85.77524893314367,603,3,197,197,trimmed_mean
pi4-2gb-wc,0,85.71428571428572,603,4,196,197,trimmed_mean
pi4-4gb,0,85.6330014224751,602,4,196,198,trimmed_mean
All,0,85.65333333333334,2409,16,784,791,trimmed_mean
pi3-1gb,1,85.71428571428571,606,8,192,194,trimmed_mean
pi4-2gb-bc,1,85.95866001425516,603,0,200,197,trimmed_mean
pi4-2gb-wc,1,85.81560283687944,605,5,195,195,trimmed_mean
pi4-4gb,1,85.77524893314367,603,3,197,197,trimmed_mean
All,1,85.81572874134564,2417,16,784,783,trimmed_mean
pi3-1gb,2,0.24968789013732834,1,0,200,799,trimmed_mean
pi4-2gb-bc,2,0.24968789013732834,1,0,200,799,trimmed_mean
pi4-2gb-wc,2,0.2493765586034913,1,1,199,799,trimmed_mean
pi4-4gb,2,0.0,0,0,200,800,trimmed_mean
All,2,0.18726591760299624,3,1,799,3197,trimmed_mean
pi3-1gb,3,40.31936127744511,202,0,200,598,trimmed_mean
pi4-2gb-bc,3,54.677565849227975,301,0,200,499,trimmed_mean
pi4-2gb-wc,3,54.677565849227975,301,0,200,499,trimmed_mean
pi4-4gb,3,54.54545454545454,300,0,200,500,trimmed_mean
All,3,51.301115241635685,1104,0,800,2096,trimmed_mean
pi3-1gb,4,1.9801980198019802,8,0,200,792,trimmed_mean
pi4-2gb-bc,4,6.2953995157385,26,0,200,774,trimmed_mean
pi4-2gb-wc,4,5.825242718446601,24,0,200,776,trimmed_mean
pi4-4gb,4,4.878048780487806,20,0,200,780,trimmed_mean
All,4,4.758999389871873,78,0,800,3122,trimmed_mean
pi3-1gb,5,1.9801980198019802,8,0,200,792,trimmed_mean
pi4-2gb-bc,5,6.996381182147165,29,0,200,771,trimmed_mean
pi4-2gb-wc,5,5.825242718446601,24,0,200,776,trimmed_mean
pi4-4gb,5,5.5893074119076545,23,0,200,777,trimmed_mean
All,5,5.115712545676004,84,0,800,3116,trimmed_mean
pi3-1gb,6,0.7471980074719801,3,0,200,797,trimmed_mean
pi4-2gb-bc,6,0.4987531172069826,2,0,200,798,trimmed_mean
pi4-2gb-wc,6,0.0,0,1,199,800,trimmed_mean
pi4-4gb,6,0.0,0,0,200,800,trimmed_mean
All,6,0.3119151590767312,5,1,799,3195,trimmed_mean
pi3-1gb,0,86.05974395448081,605,1,199,195,trimmed_mean_2
pi4-2gb-bc,0,86.01845280340667,606,3,197,194,trimmed_mean_2
pi4-2gb-wc,0,85.95744680851062,606,4,196,194,trimmed_mean_2
pi4-4gb,0,85.61253561253562,601,3,197,199,trimmed_mean_2
All,0,85.91224018475751,2418,11,789,782,trimmed_mean_2
pi3-1gb,1,85.59261887863735,603,6,194,197,trimmed_mean_2
pi4-2gb-bc,1,85.6735566642908,601,2,198,199,trimmed_mean_2
pi4-2gb-wc,1,85.73456352022711,604,5,195,196,trimmed_mean_2
pi4-4gb,1,85.75498575498574,602,2,198,198,trimmed_mean_2
All,1,85.6888888888889,2410,15,785,790,trimmed_mean_2
pi3-1gb,2,0.0,0,0,200,800,trimmed_mean_2
pi4-2gb-bc,2,0.4987531172069826,2,0,200,798,trimmed_mean_2
pi4-2gb-wc,2,0.0,0,0,200,800,trimmed_mean_2
