device,num_adversaries,f1,aggregation
pi3-1gb,0,86.84582743988683,fed_avg
pi4-2gb-bc,0,86.28287135749822,fed_avg
pi4-2gb-wc,0,85.95866001425516,fed_avg
pi4-4gb,0,85.71428571428571,fed_avg
All,0,86.20199146514936,fed_avg
pi3-1gb,1,88.8888888888889,fed_avg
pi4-2gb-bc,1,88.8888888888889,fed_avg
pi4-2gb-wc,1,88.8888888888889,fed_avg
pi4-4gb,1,88.8888888888889,fed_avg
All,1,88.8888888888889,fed_avg
pi3-1gb,2,91.23434704830055,fed_avg
pi4-2gb-bc,2,89.086859688196,fed_avg
pi4-2gb-wc,2,88.98776418242493,fed_avg
pi4-4gb,2,88.8888888888889,fed_avg
All,2,89.52057700466695,fed_avg
pi3-1gb,3,54.01459854014598,fed_avg
pi4-2gb-bc,3,65.9966499162479,fed_avg
pi4-2gb-wc,3,65.88432523051132,fed_avg
pi4-4gb,3,65.7718120805369,fed_avg
All,3,63.101604278074866,fed_avg
pi3-1gb,4,0.0,fed_avg
pi4-2gb-bc,4,0.0,fed_avg
pi4-2gb-wc,4,0.0,fed_avg
pi4-4gb,4,0.0,fed_avg
All,4,0.0,fed_avg
pi3-1gb,5,0.0,fed_avg
pi4-2gb-bc,5,2.2249690976514214,fed_avg
pi4-2gb-wc,5,3.680981595092024,fed_avg
pi4-4gb,5,0.7471980074719801,fed_avg
All,5,1.6733808490858382,fed_avg
pi3-1gb,6,0.0,fed_avg
pi4-2gb-bc,6,0.9950248756218907,fed_avg
pi4-2gb-wc,6,3.9215686274509802,fed_avg
pi4-4gb,6,0.7471980074719801,fed_avg
All,6,1.4272417002792432,fed_avg
pi3-1gb,0,72.81399046104929,trimmed_mean
pi4-2gb-bc,0,80.95238095238095,trimmed_mean
pi4-2gb-wc,0,82.09285187914517,trimmed_mean
pi4-4gb,0,82.86969253294289,trimmed_mean
All,0,79.81220657276995,trimmed_mean
pi3-1gb,1,84.55988455988457,trimmed_mean
pi4-2gb-bc,1,87.56148981026001,trimmed_mean
pi4-2gb-wc,1,87.71929824561403,trimmed_mean
pi4-4gb,1,88.1118881118881,trimmed_mean
All,1,87.00564971751412,trimmed_mean
pi3-1gb,2,0.0,trimmed_mean
pi4-2gb-bc,2,0.0,trimmed_mean
pi4-2gb-wc,2,0.0,trimmed_mean
pi4-4gb,2,0.0,trimmed_mean
All,2,0.0,trimmed_mean
pi3-1gb,3,0.0,trimmed_mean
pi4-2gb-bc,3,0.0,trimmed_mean
pi4-2gb-wc,3,0.0,trimmed_mean
pi4-4gb,3,0.0,trimmed_mean
All,3,0.0,trimmed_mean
pi3-1gb,4,0.0,trimmed_mean
pi4-2gb-bc,4,0.0,trimmed_mean
pi4-2gb-wc,4,0.0,trimmed_mean
pi4-4gb,4,0.0,trimmed_mean
All,4,0.0,trimmed_mean
pi3-1gb,5,0.0,trimmed_mean
pi4-2gb-bc,5,0.0,trimmed_mean
pi4-2gb-wc,5,0.0,trimmed_mean
pi4-4gb,5,0.0,trimmed_mean
All,5,0.0,trimmed_mean
pi3-1gb,6,0.0,trimmed_mean
pi4-2gb-bc,6,0.0,trimmed_mean
pi4-2gb-wc,6,0.0,trimmed_mean
pi4-4gb,6,0.0,trimmed_mean
All,6,0.0,trimmed_mean
pi3-1gb,0,59.154929577464785,trimmed_mean_2
pi4-2gb-bc,0,66.88851913477536,trimmed_mean_2
pi4-2gb-wc,0,66.55546288573811,trimmed_mean_2
pi4-4gb,0,66.77768526228142,trimmed_mean_2
All,0,64.9219079780498,trimmed_mean_2
pi3-1gb,1,80.95238095238095,trimmed_mean_2
pi4-2gb-bc,1,81.65680473372781,trimmed_mean_2
pi4-2gb-wc,1,82.95537673738113,trimmed_mean_2
pi4-4gb,1,83.46686088856518,trimmed_mean_2
All,1,82.2663723325975,trimmed_mean_2
pi3-1gb,2,71.17552334943639,trimmed_mean_2
pi4-2gb-bc,2,85.3046594982079,trimmed_mean_2
pi4-2gb-wc,2,85.71428571428571,trimmed_mean_2
pi4-4gb,2,85.71428571428571,trimmed_mean_2
All,2,82.28802648519404,trimmed_mean_2
pi3-1gb,3,0.0,trimmed_mean_2
pi4-2gb-bc,3,0.0,trimmed_mean_2
pi4-2gb-wc,3,0.0,trimmed_mean_2
pi4-4gb,3,0.0,trimmed_mean_2
All,3,0.0,trimmed_mean_2
