device,num_adversaries,f1,aggregation
pi3-1gb,0,86.84582743988683,fed_avg
pi4-2gb-bc,0,86.28287135749822,fed_avg
pi4-2gb-wc,0,85.95866001425516,fed_avg
pi4-4gb,0,85.71428571428571,fed_avg
All,0,86.20199146514936,fed_avg
pi3-1gb,1,34.710743801652896,fed_avg
pi4-2gb-bc,1,56.11510791366906,fed_avg
pi4-2gb-wc,1,56.88729874776387,fed_avg
pi4-4gb,1,56.24438454627134,fed_avg
All,1,51.54256553003943,fed_avg
pi3-1gb,2,88.57466063348417,fed_avg
pi4-2gb-bc,2,62.778730703259015,fed_avg
pi4-2gb-wc,2,62.54295532646048,fed_avg
pi4-4gb,2,62.778730703259015,fed_avg
All,2,71.39057750759878,fed_avg
pi3-1gb,3,8.383233532934131,fed_avg
pi4-2gb-bc,3,81.09452736318407,fed_avg
pi4-2gb-wc,3,80.67122436295836,fed_avg
pi4-4gb,3,82.81053952321204,fed_avg
All,3,70.70492383988665,fed_avg
pi3-1gb,4,72.5185685347738,fed_avg
pi4-2gb-bc,4,0.24968789013732834,fed_avg
pi4-2gb-wc,4,0.9950248756218907,fed_avg
pi4-4gb,4,0.4987531172069826,fed_avg
All,4,27.983539094650205,fed_avg
pi3-1gb,5,0.0,fed_avg
pi4-2gb-bc,5,0.0,fed_avg
pi4-2gb-wc,5,1.4888337468982629,fed_avg
pi4-4gb,5,0.7471980074719801,fed_avg
All,5,0.5609224057338734,fed_avg
pi3-1gb,6,0.0,fed_avg
pi4-2gb-bc,6,3.198031980319803,fed_avg
pi4-2gb-wc,6,2.469135802469136,fed_avg
pi4-4gb,6,1.9801980198019802,fed_avg
All,6,1.9189105540080469,fed_avg
pi3-1gb,0,83.72093023255813,trimmed_mean
pi4-2gb-bc,0,81.30563798219585,trimmed_mean
pi4-2gb-wc,0,82.61188554658841,trimmed_mean
pi4-4gb,0,84.22575976845152,trimmed_mean
All,0,82.97677820442495,trimmed_mean
pi3-1gb,1,86.12099644128112,trimmed_mean
pi4-2gb-bc,1,88.81167477414871,trimmed_mean
pi4-2gb-wc,1,89.27335640138409,trimmed_mean
pi4-4gb,1,89.65517241379311,trimmed_mean
All,1,88.48231399198467,trimmed_mean
pi3-1gb,2,38.38383838383838,trimmed_mean
pi4-2gb-bc,2,92.32673267326732,trimmed_mean
pi4-2gb-wc,2,93.04878048780488,trimmed_mean
pi4-4gb,2,95.61952440550688,trimmed_mean
All,2,84.29158110882958,trimmed_mean
pi3-1gb,3,85.35980148883374,trimmed_mean
pi4-2gb-bc,3,88.94806924101198,trimmed_mean
pi4-2gb-wc,3,89.21438082556591,trimmed_mean
pi4-4gb,3,87.27524204702627,trimmed_mean
All,3,87.66083800725833,trimmed_mean
pi3-1gb,4,88.8888888888889,trimmed_mean
pi4-2gb-bc,4,88.8888888888889,trimmed_mean
pi4-2gb-wc,4,88.8888888888889,trimmed_mean
pi4-4gb,4,88.8888888888889,trimmed_mean
All,4,88.8888888888889,trimmed_mean
pi3-1gb,5,51.439182915506045,trimmed_mean
pi4-2gb-bc,5,31.756046267087278,trimmed_mean
pi4-2gb-wc,5,28.663101604278076,trimmed_mean
pi4-4gb,5,35.390946502057616,trimmed_mean
All,5,37.30622617534943,trimmed_mean
pi3-1gb,6,0.24968789013732834,trimmed_mean
pi4-2gb-bc,6,35.390946502057616,trimmed_mean
pi4-2gb-wc,6,37.06720977596741,trimmed_mean
pi4-4gb,6,35.72895277207392,trimmed_mean
All,6,28.37221775274873,trimmed_mean
pi3-1gb,0,56.88729874776387,trimmed_mean_2
pi4-2gb-bc,0,55.33453887884268,trimmed_mean_2
pi4-2gb-wc,0,55.855855855855864,trimmed_mean_2
pi4-4gb,0,56.759176365264096,trimmed_mean_2
All,0,56.212087171422155,trimmed_mean_2
pi3-1gb,1,76.25676720804331,trimmed_mean_2
pi4-2gb-bc,1,85.4688618468146,trimmed_mean_2
pi4-2gb-wc,1,85.55078683834049,trimmed_mean_2
pi4-4gb,1,85.95866001425516,trimmed_mean_2
All,1,83.4456383172464,trimmed_mean_2
pi3-1gb,2,80.32909498878085,trimmed_mean_2
pi4-2gb-bc,2,85.38681948424069,trimmed_mean_2
pi4-2gb-wc,2,85.87731811697574,trimmed_mean_2
pi4-4gb,2,87.16502115655854,trimmed_mean_2
All,2,84.74698361246173,trimmed_mean_2
