device,num_adversaries,f1,aggregation,injected
pi3-1gb,0,82.8125,fed_avg,pi3-1gb
pi4-2gb-bc,0,86.57844990548205,fed_avg,pi3-1gb
pi4-2gb-wc,0,85.82302568981922,fed_avg,pi3-1gb
pi4-4gb,0,85.82302568981922,fed_avg,pi3-1gb
All,0,85.27724665391969,fed_avg,pi3-1gb
pi3-1gb,1,56.11510791366906,fed_avg,pi3-1gb
pi4-2gb-bc,1,57.3127229488704,fed_avg,pi3-1gb
pi4-2gb-wc,1,54.36893203883496,fed_avg,pi3-1gb
pi4-4gb,1,58.82352941176471,fed_avg,pi3-1gb
All,1,56.67363392057331,fed_avg,pi3-1gb
pi3-1gb,2,61.75115207373272,fed_avg,pi3-1gb
pi4-2gb-bc,2,53.658536585365844,fed_avg,pi3-1gb
pi4-2gb-wc,2,47.908745247148296,fed_avg,pi3-1gb
pi4-4gb,2,53.12117503059975,fed_avg,pi3-1gb
All,2,54.28051001821493,fed_avg,pi3-1gb
pi3-1gb,3,59.84598459845984,fed_avg,pi3-1gb
pi4-2gb-bc,3,43.005181347150256,fed_avg,pi3-1gb
pi4-2gb-wc,3,36.19047619047619,fed_avg,pi3-1gb
pi4-4gb,3,47.36842105263159,fed_avg,pi3-1gb
All,3,47.29309271935283,fed_avg,pi3-1gb
pi3-1gb,4,72.3404255319149,fed_avg,pi3-1gb
pi4-2gb-bc,4,19.548872180451127,fed_avg,pi3-1gb
pi4-2gb-wc,4,19.004524886877828,fed_avg,pi3-1gb
pi4-4gb,4,19.004524886877828,fed_avg,pi3-1gb
All,4,38.91345546430827,fed_avg,pi3-1gb
pi3-1gb,0,81.07036669970267,trimmed_mean,pi3-1gb
pi4-2gb-bc,0,83.72093023255813,trimmed_mean,pi3-1gb
pi4-2gb-wc,0,83.72093023255813,trimmed_mean,pi3-1gb
pi4-4gb,0,84.39306358381504,trimmed_mean,pi3-1gb
All,0,83.24008756993432,trimmed_mean,pi3-1gb
pi3-1gb,1,68.42105263157895,trimmed_mean,pi3-1gb
pi4-2gb-bc,1,72.20447284345047,trimmed_mean,pi3-1gb
pi4-2gb-wc,1,72.74655355249205,trimmed_mean,pi3-1gb
