device,num_adversaries,f1,tp,fp,tn,fn,aggregation,injected
pi3-1gb,0,84.94726749760306,443,0,150,157,fed_avg,pi3-1gb
pi4-2gb-bc,0,85.93155893536121,452,0,150,148,fed_avg,pi3-1gb
pi4-2gb-wc,0,85.93155893536121,452,0,150,148,fed_avg,pi3-1gb
pi4-4gb,0,86.14800759013282,454,0,150,146,fed_avg,pi3-1gb
All,0,85.74149012139965,1801,0,600,599,fed_avg,pi3-1gb
pi3-1gb,1,85.38681948424069,447,0,150,153,fed_avg,pi3-1gb
pi4-2gb-bc,1,93.33333333333333,525,0,150,75,fed_avg,pi3-1gb
pi4-2gb-wc,1,92.95272078501338,521,0,150,79,fed_avg,pi3-1gb
pi4-4gb,1,93.04812834224599,522,0,150,78,fed_avg,pi3-1gb
All,1,91.2797281993205,2015,0,600,385,fed_avg,pi3-1gb
pi3-1gb,2,88.88888888888889,564,105,45,36,fed_avg,pi3-1gb
pi4-2gb-bc,2,81.88976377952756,416,0,150,184,fed_avg,pi3-1gb
pi4-2gb-wc,2,81.07036669970267,409,0,150,191,fed_avg,pi3-1gb
pi4-4gb,2,81.77339901477832,415,0,150,185,fed_avg,pi3-1gb
All,2,83.73172429798097,1804,105,495,596,fed_avg,pi3-1gb
pi3-1gb,3,82.56880733944955,450,40,110,150,fed_avg,pi3-1gb
pi4-2gb-bc,3,66.07142857142857,296,0,150,304,fed_avg,pi3-1gb
pi4-2gb-wc,3,66.66666666666666,300,0,150,300,fed_avg,pi3-1gb
pi4-4gb,3,66.14699331848551,297,1,149,303,fed_avg,pi3-1gb
All,3,70.9830866807611,1343,41,559,1057,fed_avg,pi3-1gb
pi3-1gb,4,82.3529411764706,525,150,0,75,fed_avg,pi3-1gb
pi4-2gb-bc,4,68.49015317286651,313,1,149,287,fed_avg,pi3-1gb
pi4-2gb-wc,4,68.85245901639345,315,0,150,285,fed_avg,pi3-1gb
pi4-4gb,4,69.2056583242655,318,1,149,282,fed_avg,pi3-1gb
All,4,73.12950534427044,1471,152,448,929,fed_avg,pi3-1gb
pi3-1gb,0,69.70684039087948,321,0,150,279,trimmed_mean,pi3-1gb
pi4-2gb-bc,0,82.92682926829268,425,0,150,175,trimmed_mean,pi3-1gb
pi4-2gb-wc,0,83.97683397683397,435,1,149,165,trimmed_mean,pi3-1gb
pi4-4gb,0,84.72622478386168,441,0,150,159,trimmed_mean,pi3-1gb
All,0,80.6363410390256,1622,1,599,778,trimmed_mean,pi3-1gb
pi3-1gb,1,81.53998025666337,413,0,150,187,trimmed_mean,pi3-1gb
pi4-2gb-bc,1,86.7924528301887,460,0,150,140,trimmed_mean,pi3-1gb
pi4-2gb-wc,1,86.89915174363809,461,0,150,139,trimmed_mean,pi3-1gb
pi4-4gb,1,87.53514526710403,467,0,150,133,trimmed_mean,pi3-1gb
All,1,85.74149012139965,1801,0,600,599,trimmed_mean,pi3-1gb
pi3-1gb,2,94.18238993710692,599,73,77,1,trimmed_mean,pi3-1gb
pi4-2gb-bc,2,85.49618320610688,448,0,150,152,trimmed_mean,pi3-1gb
pi4-2gb-wc,2,85.82302568981922,451,0,150,149,trimmed_mean,pi3-1gb
pi4-4gb,2,85.82302568981922,451,0,150,149,trimmed_mean,pi3-1gb
All,2,88.15015829941203,1949,73,527,451,trimmed_mean,pi3-1gb
pi3-1gb,3,88.35125448028674,493,23,127,107,trimmed_mean,pi3-1gb
pi4-2gb-bc,3,85.38681948424069,447,0,150,153,trimmed_mean,pi3-1gb
pi4-2gb-wc,3,83.26848249027238,428,0,150,172,trimmed_mean,pi3-1gb
pi4-4gb,3,85.63273073263558,450,1,149,150,trimmed_mean,pi3-1gb
All,3,85.71428571428571,1818,24,576,582,trimmed_mean,pi3-1gb
pi3-1gb,4,82.3529411764706,525,150,0,75,trimmed_mean,pi3-1gb
pi4-2gb-bc,4,85.71428571428571,450,0,150,150,trimmed_mean,pi3-1gb
pi4-2gb-wc,4,85.60533841754051,449,0,150,151,trimmed_mean,pi3-1gb
pi4-4gb,4,85.19579751671442,446,1,149,154,trimmed_mean,pi3-1gb
All,4,84.59624519339516,1870,151,449,530,trimmed_mean,pi3-1gb
pi3-1gb,0,62.15596330275229,271,1,149,329,trimmed_mean_2,pi3-1gb
pi4-2gb-bc,0,81.07036669970267,409,0,150,191,trimmed_mean_2,pi3-1gb
pi4-2gb-wc,0,80.95238095238095,408,0,150,192,trimmed_mean_2,pi3-1gb
pi4-4gb,0,82.00589970501476,417,0,150,183,trimmed_mean_2,pi3-1gb
All,0,77.06093189964159,1505,1,599,895,trimmed_mean_2,pi3-1gb
pi3-1gb,1,77.51780264496439,381,2,148,219,trimmed_mean_2,pi3-1gb
pi4-2gb-bc,1,75.64766839378237,365,0,150,235,trimmed_mean_2,pi3-1gb
pi4-2gb-wc,1,76.03305785123966,368,0,150,232,trimmed_mean_2,pi3-1gb
pi4-4gb,1,75.64766839378237,365,0,150,235,trimmed_mean_2,pi3-1gb
All,1,76.21746972429786,1479,2,598,921,trimmed_mean_2,pi3-1gb
