device,num_adversaries,f1,tp,fp,tn,fn,aggregation
pi3-1gb,0,83.23615160349854,571,1,199,229,fed_avg
pi4-2gb-bc,0,85.6325947105075,599,0,200,201,fed_avg
pi4-2gb-wc,0,85.87731811697574,602,0,200,198,fed_avg
pi4-4gb,0,85.95866001425516,603,0,200,197,fed_avg
All,0,85.18651362984218,2375,1,799,825,fed_avg
pi3-1gb,1,88.8888888888889,800,200,0,0,fed_avg
pi4-2gb-bc,1,88.8888888888889,800,200,0,0,fed_avg
pi4-2gb-wc,1,88.8888888888889,800,200,0,0,fed_avg
pi4-4gb,1,88.8888888888889,800,200,0,0,fed_avg
All,1,88.8888888888889,3200,800,0,0,fed_avg
pi3-1gb,2,66.83291770573567,402,1,199,398,fed_avg
pi4-2gb-bc,2,79.48910593538695,529,2,198,271,fed_avg
pi4-2gb-wc,2,77.61650114591292,508,1,199,292,fed_avg
pi4-4gb,2,78.14166031987814,513,0,200,287,fed_avg
All,2,75.71761055081458,1952,4,796,1248,fed_avg
pi3-1gb,3,33.81742738589211,163,1,199,637,fed_avg
pi4-2gb-bc,3,54.14767547857794,297,0,200,503,fed_avg
pi4-2gb-wc,3,54.75974614687216,302,1,199,498,fed_avg
pi4-4gb,3,54.495912806539515,300,1,199,500,fed_avg
All,3,49.80070339976553,1062,3,797,2138,fed_avg
pi3-1gb,4,0.9950248756218907,4,0,200,796,fed_avg
pi4-2gb-bc,4,0.9937888198757764,4,1,199,796,fed_avg
pi4-2gb-wc,4,0.24968789013732834,1,0,200,799,fed_avg
pi4-4gb,4,0.49813200498132004,2,1,199,798,fed_avg
All,4,0.6847183317771552,11,2,798,3189,fed_avg
pi3-1gb,5,0.24968789013732834,1,0,200,799,fed_avg
pi4-2gb-bc,5,0.24968789013732834,1,0,200,799,fed_avg
pi4-2gb-wc,5,0.0,0,0,200,800,fed_avg
pi4-4gb,5,0.0,0,0,200,800,fed_avg
All,5,0.12492192379762648,2,0,800,3198,fed_avg
pi3-1gb,6,1.977750309023486,8,1,199,792,fed_avg
pi4-2gb-bc,6,5.825242718446601,24,0,200,776,fed_avg
pi4-2gb-wc,6,6.529625151148731,27,0,200,773,fed_avg
pi4-4gb,6,5.5893074119076545,23,0,200,777,fed_avg
All,6,4.995431008224186,82,1,799,3118,fed_avg
pi3-1gb,0,83.74455732946298,577,1,199,223,trimmed_mean
pi4-2gb-bc,0,81.30563798219585,548,0,200,252,trimmed_mean
pi4-2gb-wc,0,82.69794721407624,564,0,200,236,trimmed_mean
pi4-4gb,0,82.69794721407624,564,0,200,236,trimmed_mean
All,0,82.61826182618263,2253,1,799,947,trimmed_mean
