device,num_adversaries,f1,tp,fp,tn,fn,aggregation
pi3-1gb,0,83.23615160349854,571,1,199,229,fed_avg
pi4-2gb-bc,0,85.6325947105075,599,0,200,201,fed_avg
pi4-2gb-wc,0,85.87731811697574,602,0,200,198,fed_avg
pi4-4gb,0,85.95866001425516,603,0,200,197,fed_avg
All,0,85.18651362984218,2375,1,799,825,fed_avg
pi3-1gb,1,81.84110970996218,649,137,63,151,fed_avg
pi4-2gb-bc,1,88.81469115191986,798,199,1,2,fed_avg
pi4-2gb-wc,1,88.8271261812118,799,200,0,1,fed_avg
pi4-4gb,1,88.7402452619844,796,198,2,4,fed_avg
All,1,87.21330275229357,3042,734,66,158,fed_avg
pi3-1gb,2,15.028901734104046,65,0,200,735,fed_avg
pi4-2gb-bc,2,58.823529411764696,335,4,196,465,fed_avg
pi4-2gb-wc,2,63.898305084745765,377,3,197,423,fed_avg
pi4-4gb,2,55.7847533632287,311,4,196,489,fed_avg
All,2,50.61642242381949,1088,11,789,2112,fed_avg
pi3-1gb,3,2.2249690976514214,9,0,200,791,fed_avg
pi4-2gb-bc,3,76.23252391464311,518,41,159,282,fed_avg
pi4-2gb-wc,3,76.60516605166052,519,36,164,281,fed_avg
pi4-4gb,3,75.07552870090635,497,27,173,303,fed_avg
All,3,63.66824840107284,1543,104,696,1657,fed_avg
pi3-1gb,4,5.5893074119076545,23,0,200,777,fed_avg
pi4-2gb-bc,4,30.68783068783069,145,0,200,655,fed_avg
pi4-2gb-wc,4,27.213822894168466,126,0,200,674,fed_avg
pi4-4gb,4,40.31936127744511,202,0,200,598,fed_avg
All,4,26.83982683982684,496,0,800,2704,fed_avg
pi3-1gb,5,82.90398126463701,708,200,0,92,fed_avg
pi4-2gb-bc,5,88.8271261812118,799,200,0,1,fed_avg
pi4-2gb-wc,5,88.76529477196885,798,200,0,2,fed_avg
pi4-4gb,5,88.8888888888889,800,200,0,0,fed_avg
All,5,87.40323715693174,3105,800,0,95,fed_avg
pi3-1gb,6,6.529625151148731,27,0,200,773,fed_avg
pi4-2gb-bc,6,0.9950248756218907,4,0,200,796,fed_avg
pi4-2gb-wc,6,0.9950248756218907,4,0,200,796,fed_avg
pi4-4gb,6,1.2422360248447204,5,0,200,795,fed_avg
All,6,2.469135802469136,40,0,800,3160,fed_avg
pi3-1gb,0,85.48963545389566,598,1,199,202,trimmed_mean
pi4-2gb-bc,0,84.22575976845152,582,0,200,218,trimmed_mean
pi4-2gb-wc,0,85.22238163558106,594,0,200,206,trimmed_mean
pi4-4gb,0,85.4688618468146,597,0,200,203,trimmed_mean
All,0,85.1040918880115,2371,1,799,829,trimmed_mean
